Vertex,Label,CommunityID
282,brunoadspro,11
283,oferrariai,11
284,uzieljr,15
285,RamonRodSou,11
286,Thuglife22741,11
287,GustavoNevez,18
288,danielkv,26
289,jheissonn,18
290,FilippiAraujo,16
291,sebastianxy,10
292,juniorcastr,10
293,Aurelianny,10
294,bmoweb,10
295,Marcusluca,33
296,rbarcelo,10
297,MatheusLedstar,4
298,shorvelyn,8
299,saviosprinty,8
300,lostmga,0
301,HameXAcademy,8
302,lobx13,33
303,Alemar10,8
304,fcperez96,8
305,juliocamargo10,8
306,luiz10leite-glitch,33
307,Riders004,42
308,fernandosegrr,17
309,mjhidalgo,17
310,Gatelli1993,17
311,caesar621,17
312,CristianPG-FME,16
313,grupale,20
314,rmogro,16
315,amacfe-ui,3
316,GusMartins499,3
317,gkp1,26
318,allan-outside,13
319,segeletron,16
320,BootecoBOot,18
321,ONinguem,18
322,kenneson,16
323,rodrigodsluz,18
324,lucaspmaiadev-gif,18
325,adrianobraz,18
326,Allvasc,18
327,lcmouras,18
328,MANINtecn,18
329,victor-hdgomes,18
330,goldfypro-debug,18
331,viniciusguardaa-cpu,18
332,Jotamtcoisa,18
333,renatom3ndes,18
334,placidodaniel,18
335,marciobele,18
336,pinheirorangel89-art,18
337,masterkachu,18
338,conectoutsourcing,18
339,felipepiton,16
340,romariouba,18
341,victor-azevedo,18
342,lucasevss,18
343,aguga491,18
344,julioantunes-ti,9
345,tiosam21,18
346,danielmatiello,18
347,ArildoMello,18
348,karlosgaldino,18
349,quatroventos,18
350,previdprocessos-hashch,26
351,emretaskiran1,26
352,mkfyasar,26
353,Joao-Guthembergue,26
354,Matheus-develope,20
355,imaginelabpy-code,14
356,pauloanalista,20
357,LuisGuilhermeRampaso,10
358,machoalfastore01-ai,20
359,andreysuprano,10
360,FinPartner,10
361,souwilliamdiassilva,20
362,thiago-audithorium,20
363,andersonlkll,20
364,gabrielfelipeslv,20
365,MarcoLopezf,20
366,gustavo-lg,20
367,g-solis,20
368,cleprog-co,20
369,allefrodrigo,20
370,Feeh03114,20
371,marcoantoniofassa,20
372,flashanalytics-felipeaguiar,20
373,PhyBruno,23
374,thiagoaaragao,20
375,Fhelyp,20
376,DeNiNhOoO,10
377,thiagobrst,20
378,vitorgomespro,20
379,lucasgsalmeida,20
380,gustavosouzalima,20
381,lucasmassarosimoes,20
382,lucaskreich,10
383,renatogava,10
384,alexsandroluz,10
385,BeOnTech01,10
386,medinavs,10
387,brunomond,43
388,rdmalves87,23
389,nachotdl,14
390,antoniogsouzaag,14
391,imapproved,14
392,vitorhfcastro,44
393,maikelagm,45
394,massimorm,3
395,arthurbrenno,15
396,B3t4C0d3,23
397,pbm94,46
398,celestinofjanuario-ctrl,26
399,kunumigab,4
400,hereck,4
401,sutidor,47
402,Victorcassiano,14
403,abdelrhmanfawzym,14
404,Cranbaerry,14
405,GTMoraes,14
406,lucasguzo,14
407,zurielamorim,14
408,r0usis,48
409,mikekiroz,9
410,fluintech,49
411,jonathanpog98,0
412,RelaxSolucoes,14
413,estebanlis,14
414,mahdihaghnegar,14
415,willph,14
416,isaqueipromotora,14
417,Brandevtech,14
418,flavioxx,14
