Source,Target,Weight
DavidsonGomes,victorpergher,3.0
DavidsonGomes,pedroramosuerj,3.0
DavidsonGomes,JBdesarrollo,3.0
DavidsonGomes,willianbsb,3.0
DavidsonGomes,JorgeHRP,3.0
DavidsonGomes,victorhugo-applicativa,3.0
DavidsonGomes,luccamrofc,6.0
DavidsonGomes,joaoguilhermeeu,3.0
p3dr0574,robertoborcem,2.0
p3dr0574,Goulart-SB,2.0
p3dr0574,WanderleyGrecco,6.0
p3dr0574,shahrammahadvi,2.0
p3dr0574,CaymanS0,10.0
danirpa,robertoborcem,2.0
VoeonAI,robertoborcem,2.0
chagasma,shahrammahadvi,2.0
JhonesSena,victorhugo-applicativa,2.0
dinesh-suthar-cdp,hilsoney1200-dotcom,2.0
dinesh-suthar-cdp,gabrielhhaber,2.0
gilney-canaltelecom,mizaelks,2.0
gilney-canaltelecom,andifilhohub,2.0
gilney-canaltelecom,vmssistemas,2.0
gilney-canaltelecom,dinesh-suthar-cdp,2.0
gilney-canaltelecom,VRAutomatize,2.0
sussamgtads,dinesh-suthar-cdp,2.0
FelipeBernardesDev,hilsoney1200-dotcom,4.0
FelipeBernardesDev,ti613,2.0
FelipeBernardesDev,dinesh-suthar-cdp,2.0
orfeubr,spotmkt,4.0
orfeubr,dinesh-suthar-cdp,2.0
reginaldo-machado,dinesh-suthar-cdp,2.0
UluanRichard,hilsoney1200-dotcom,2.0
WhiterBy1,hilsoney1200-dotcom,2.0
RoyallGuards,hilsoney1200-dotcom,2.0
diegoirs23,Mahmoudreda66,4.0
diegoirs23,VoeonAI,2.0
diegoirs23,NRotili,2.0
diegoirs23,elciogiaretta-ops,2.0
diegoirs23,Header9968,4.0
NRotili,kbetoacero,4.0
mastermailgeral,NRotili,4.0
YzKencebay,mikekiroz,2.0
YzKencebay,NRotili,2.0
tectg-solution,Darwin-IA-hub,2.0
tectg-solution,NRotili,2.0
TiagoGouvea,parkejunior,2.0
TiagoGouvea,Darwin-IA-hub,4.0
TiagoGouvea,MatheusMoraisDescomplica,2.0
TiagoGouvea,daisito,2.0
TiagoGouvea,kbetoacero,2.0
TiagoGouvea,rcesar,12.0
TiagoGouvea,VitorAf0nso,4.0
TiagoGouvea,jwdutra,4.0
TiagoGouvea,andersonfelipev,4.0
TiagoGouvea,vmssistemas,10.0
TiagoGouvea,PhyBruno,2.0
TiagoGouvea,Simplobot1,2.0
TiagoGouvea,MattCarneiro,2.0
TiagoGouvea,anirudhbagri,2.0
TiagoGouvea,JVini0166,2.0
TiagoGouvea,igorsamuelsouza22,2.0
TiagoGouvea,juliomoreirx,2.0
Luiz-Otavio-Dorigon,rodrigobeber,2.0
TrolljanO,amacfe-ui,2.0
